,A1,A19,A6,A14,A11,A18,A12,A8,A4,A3,A7,A15,A9,A10,A17,A13,A2,A16,A5,A20,A21
11,0.0,0.0,0.0,2.0,4.0,1.0,1.0,3.0,9.0,2.0,1.0,0.0,1.0,0.0,2.0,-0.0,1.0,1.0,1.0,0.0,2
12,1.0,1.0,0.0,2.0,1.0,1.0,2.0,1.0,4.0,2.0,2.0,1.0,1.0,0.0,2.0,-0.0,1.0,1.0,-0.0,0.0,1
13,0.0,0.0,0.0,2.0,4.0,1.0,2.0,4.0,0.0,4.0,4.0,1.0,2.0,0.0,1.0,1.0,1.0,2.0,-0.0,0.0,2
14,0.0,0.0,0.0,2.0,4.0,1.0,2.0,2.0,0.0,2.0,2.0,0.0,1.0,0.0,2.0,-0.0,1.0,1.0,-0.0,0.0,1
15,0.0,0.0,1.0,2.0,2.0,1.0,2.0,4.0,4.0,2.0,2.0,1.0,1.0,0.0,1.0,-0.0,1.0,1.0,-0.0,0.0,2
16,3.0,0.0,4.0,2.0,4.0,1.0,1.0,4.0,4.0,4.0,4.0,1.0,2.0,0.0,2.0,1.0,1.0,2.0,-0.0,0.0,1
17,0.0,0.0,4.0,0.0,3.0,1.0,2.0,2.0,9.0,0.0,1.0,1.0,2.0,0.0,2.0,-0.0,1.0,3.0,1.0,0.0,1
18,3.0,1.0,2.0,2.0,2.0,2.0,2.0,3.0,4.0,2.0,4.0,1.0,2.0,0.0,2.0,-0.0,1.0,1.0,-0.0,0.0,1
19,3.0,1.0,0.0,2.0,4.0,1.0,2.0,4.0,0.0,4.0,2.0,1.0,2.0,0.0,2.0,1.0,1.0,3.0,-0.0,0.0,1
20,0.0,0.0,2.0,2.0,3.0,2.0,0.0,2.0,4.0,2.0,2.0,0.0,2.0,0.0,2.0,1.0,-0.0,1.0,-0.0,0.0,1
21,0.0,0.0,0.0,2.0,3.0,2.0,0.0,1.0,0.0,4.0,1.0,0.0,2.0,0.0,1.0,1.0,1.0,2.0,-0.0,1.0,1
22,1.0,0.0,1.0,2.0,4.0,1.0,1.0,3.0,1.0,4.0,1.0,1.0,2.0,0.0,2.0,1.0,1.0,1.0,-0.0,0.0,1
23,3.0,0.0,4.0,2.0,1.0,1.0,2.0,2.0,3.0,4.0,2.0,1.0,3.0,0.0,2.0,-0.0,1.0,2.0,-0.0,1.0,1
24,0.0,1.0,0.0,0.0,2.0,1.0,0.0,1.0,3.0,2.0,2.0,1.0,2.0,0.0,1.0,1.0,-0.0,1.0,-0.0,0.0,1
25,3.0,0.0,0.0,2.0,4.0,1.0,2.0,4.0,4.0,0.0,4.0,1.0,3.0,0.0,1.0,1.0,-0.0,1.0,-0.0,0.0,1
26,2.0,0.0,3.0,2.0,3.0,1.0,0.0,3.0,4.0,1.0,2.0,0.0,1.0,0.0,2.0,1.0,1.0,2.0,-0.0,0.0,1
27,1.0,0.0,0.0,2.0,2.0,1.0,0.0,3.0,4.0,2.0,2.0,1.0,2.0,2.0,2.0,-0.0,-0.0,1.0,-0.0,0.0,1
28,1.0,1.0,3.0,0.0,3.0,1.0,0.0,3.0,9.0,2.0,1.0,1.0,3.0,0.0,2.0,1.0,1.0,1.0,-0.0,0.0,1
29,0.0,0.0,0.0,1.0,2.0,1.0,2.0,2.0,3.0,2.0,2.0,1.0,2.0,0.0,2.0,-0.0,1.0,1.0,1.0,0.0,1
30,1.0,1.0,1.0,2.0,2.0,1.0,2.0,2.0,0.0,2.0,2.0,1.0,2.0,0.0,2.0,-0.0,1.0,2.0,1.0,0.0,1
31,3.0,0.0,4.0,2.0,4.0,1.0,3.0,4.0,9.0,4.0,4.0,0.0,2.0,0.0,1.0,1.0,1.0,1.0,-0.0,0.0,1
32,2.0,1.0,0.0,0.0,1.0,1.0,1.0,4.0,3.0,2.0,1.0,1.0,1.0,0.0,3.0,-0.0,1.0,1.0,-0.0,0.0,1
33,1.0,0.0,0.0,2.0,2.0,1.0,1.0,4.0,4.0,4.0,1.0,1.0,2.0,0.0,1.0,-0.0,1.0,2.0,1.0,0.0,2
34,3.0,1.0,0.0,0.0,3.0,1.0,3.0,1.0,7.0,4.0,2.0,2.0,2.0,0.0,2.0,-0.0,1.0,1.0,1.0,0.0,1
35,2.0,0.0,0.0,1.0,2.0,1.0,0.0,4.0,4.0,2.0,2.0,1.0,2.0,1.0,2.0,1.0,1.0,1.0,-0.0,0.0,2
36,2.0,1.0,0.0,2.0,2.0,1.0,2.0,2.0,5.0,2.0,2.0,1.0,2.0,0.0,2.0,1.0,1.0,1.0,-0.0,0.0,1
37,1.0,0.0,0.0,2.0,3.0,1.0,0.0,4.0,4.0,2.0,2.0,1.0,2.0,0.0,2.0,-0.0,1.0,1.0,-0.0,0.0,1
38,3.0,0.0,2.0,0.0,2.0,1.0,2.0,4.0,4.0,2.0,4.0,1.0,2.0,0.0,3.0,-0.0,1.0,1.0,-0.0,0.0,1
39,1.0,1.0,2.0,2.0,1.0,1.0,2.0,3.0,4.0,2.0,2.0,1.0,0.0,0.0,2.0,-0.0,1.0,1.0,-0.0,0.0,1
40,1.0,1.0,0.0,2.0,4.0,2.0,0.0,2.0,6.0,3.0,2.0,1.0,2.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,1
41,0.0,0.0,1.0,2.0,4.0,1.0,2.0,1.0,1.0,4.0,3.0,0.0,3.0,0.0,2.0,-0.0,1.0,2.0,1.0,0.0,1
42,0.0,0.0,0.0,1.0,4.0,1.0,3.0,4.0,1.0,4.0,4.0,2.0,1.0,0.0,1.0,1.0,1.0,2.0,1.0,0.0,2
43,3.0,0.0,0.0,2.0,4.0,1.0,2.0,4.0,0.0,4.0,1.0,1.0,1.0,0.0,3.0,1.0,1.0,2.0,-0.0,0.0,1
44,3.0,0.0,2.0,2.0,4.0,1.0,2.0,4.0,4.0,2.0,4.0,1.0,2.0,0.0,2.0,1.0,1.0,1.0,-0.0,0.0,1
45,0.0,1.0,2.0,2.0,2.0,1.0,1.0,1.0,1.0,2.0,0.0,0.0,1.0,0.0,0.0,-0.0,-0.0,1.0,-0.0,0.0,1
46,3.0,0.0,0.0,2.0,4.0,1.0,1.0,1.0,0.0,4.0,2.0,1.0,2.0,0.0,1.0,1.0,1.0,2.0,1.0,0.0,1
47,3.0,0.0,1.0,2.0,2.0,1.0,0.0,4.0,4.0,2.0,2.0,1.0,1.0,1.0,2.0,-0.0,1.0,1.0,-0.0,0.0,1
48,1.0,0.0,4.0,0.0,2.0,1.0,1.0,4.0,3.0,3.0,1.0,1.0,2.0,0.0,1.0,-0.0,1.0,1.0,-0.0,0.0,1
49,1.0,1.0,0.0,2.0,2.0,1.0,2.0,1.0,1.0,3.0,4.0,1.0,2.0,0.0,3.0,-0.0,1.0,2.0,1.0,0.0,1
50,3.0,0.0,0.0,2.0,2.0,1.0,2.0,3.0,4.0,2.0,2.0,1.0,2.0,0.0,2.0,-0.0,1.0,1.0,-0.0,0.0,1
51,3.0,1.0,4.0,2.0,1.0,1.0,1.0,2.0,1.0,2.0,2.0,1.0,2.0,0.0,2.0,-0.0,1.0,1.0,-0.0,0.0,1
52,1.0,1.0,0.0,0.0,4.0,1.0,3.0,4.0,0.0,3.0,4.0,2.0,2.0,0.0,2.0,1.0,1.0,2.0,-0.0,0.0,2
53,3.0,0.0,4.0,1.0,2.0,2.0,0.0,1.0,0.0,1.0,2.0,1.0,2.0,2.0,1.0,-0.0,-0.0,1.0,-0.0,0.0,1
54,1.0,1.0,4.0,2.0,1.0,1.0,3.0,2.0,4.0,2.0,0.0,1.0,2.0,0.0,3.0,1.0,1.0,1.0,1.0,0.0,2
55,3.0,0.0,0.0,1.0,2.0,1.0,2.0,2.0,4.0,4.0,2.0,1.0,1.0,0.0,2.0,-0.0,1.0,2.0,1.0,0.0,1
56,2.0,0.0,0.0,2.0,2.0,1.0,2.0,3.0,0.0,2.0,4.0,1.0,1.0,0.0,3.0,-0.0,1.0,1.0,-0.0,0.0,1
57,0.0,1.0,0.0,2.0,4.0,1.0,3.0,4.0,3.0,4.0,1.0,0.0,1.0,1.0,1.0,-0.0,1.0,2.0,1.0,0.0,2
58,1.0,1.0,0.0,0.0,1.0,1.0,0.0,2.0,9.0,2.0,2.0,1.0,3.0,0.0,2.0,-0.0,1.0,1.0,-0.0,0.0,1
59,1.0,1.0,4.0,2.0,4.0,1.0,0.0,4.0,4.0,4.0,4.0,1.0,2.0,2.0,2.0,1.0,1.0,2.0,-0.0,0.0,1
60,1.0,1.0,0.0,2.0,4.0,1.0,3.0,4.0,9.0,0.0,4.0,2.0,2.0,0.0,3.0,1.0,1.0,1.0,-0.0,0.0,2
61,3.0,1.0,0.0,2.0,4.0,1.0,1.0,4.0,4.0,2.0,1.0,1.0,1.0,0.0,2.0,-0.0,1.0,1.0,-0.0,0.0,1
62,3.0,1.0,4.0,2.0,4.0,2.0,1.0,4.0,6.0,2.0,4.0,1.0,2.0,0.0,2.0,1.0,1.0,4.0,1.0,0.0,1
63,3.0,0.0,0.0,0.0,2.0,1.0,2.0,2.0,4.0,2.0,1.0,1.0,1.0,0.0,2.0,-0.0,1.0,1.0,-0.0,0.0,1
64,1.0,0.0,3.0,2.0,1.0,1.0,0.0,4.0,0.0,2.0,2.0,1.0,3.0,0.0,2.0,-0.0,1.0,1.0,-0.0,0.0,1
65,3.0,1.0,0.0,1.0,4.0,1.0,3.0,4.0,7.0,2.0,2.0,2.0,2.0,0.0,2.0,1.0,1.0,1.0,-0.0,0.0,2
66,3.0,0.0,4.0,2.0,4.0,1.0,2.0,4.0,4.0,2.0,2.0,1.0,1.0,0.0,2.0,-0.0,1.0,1.0,-0.0,0.0,1
67,3.0,0.0,0.0,0.0,2.0,1.0,1.0,1.0,1.0,2.0,2.0,1.0,1.0,0.0,2.0,-0.0,1.0,1.0,1.0,0.0,1
68,3.0,1.0,4.0,2.0,2.0,1.0,1.0,4.0,4.0,4.0,4.0,0.0,2.0,0.0,1.0,1.0,-0.0,2.0,-0.0,0.0,1
69,0.0,1.0,0.0,0.0,4.0,2.0,3.0,3.0,2.0,4.0,4.0,2.0,2.0,0.0,3.0,1.0,1.0,2.0,-0.0,0.0,1
70,1.0,0.0,0.0,0.0,1.0,1.0,0.0,2.0,9.0,4.0,3.0,1.0,1.0,0.0,1.0,1.0,1.0,2.0,1.0,0.0,1
71,0.0,1.0,4.0,2.0,4.0,1.0,3.0,4.0,7.0,2.0,4.0,1.0,2.0,0.0,3.0,1.0,1.0,1.0,-0.0,0.0,2
72,0.0,0.0,0.0,2.0,4.0,1.0,3.0,4.0,1.0,4.0,4.0,2.0,2.0,0.0,3.0,1.0,1.0,2.0,-0.0,0.0,1
73,0.0,0.0,0.0,2.0,3.0,1.0,2.0,4.0,4.0,2.0,1.0,1.0,2.0,0.0,2.0,-0.0,1.0,1.0,1.0,0.0,2
74,1.0,0.0,0.0,2.0,4.0,1.0,1.0,2.0,4.0,3.0,3.0,1.0,2.0,0.0,2.0,1.0,1.0,1.0,1.0,0.0,1
75,3.0,0.0,4.0,2.0,2.0,2.0,1.0,2.0,1.0,0.0,2.0,1.0,2.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,1
76,1.0,0.0,0.0,2.0,1.0,1.0,1.0,2.0,3.0,2.0,1.0,1.0,3.0,0.0,2.0,-0.0,1.0,1.0,-0.0,0.0,1
77,3.0,1.0,4.0,2.0,1.0,1.0,2.0,1.0,4.0,2.0,1.0,1.0,1.0,0.0,2.0,1.0,1.0,2.0,1.0,0.0,2
78,3.0,1.0,2.0,1.0,3.0,1.0,1.0,4.0,4.0,2.0,4.0,1.0,2.0,0.0,2.0,1.0,1.0,1.0,-0.0,0.0,1
79,3.0,0.0,1.0,2.0,4.0,1.0,1.0,3.0,9.0,2.0,2.0,0.0,1.0,0.0,1.0,-0.0,1.0,1.0,-0.0,0.0,1
80,0.0,1.0,0.0,2.0,4.0,1.0,0.0,4.0,2.0,2.0,4.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,-0.0,0.0,1
81,0.0,0.0,0.0,2.0,4.0,1.0,0.0,3.0,4.0,2.0,4.0,1.0,2.0,0.0,1.0,1.0,1.0,1.0,-0.0,0.0,1
82,3.0,1.0,0.0,2.0,2.0,1.0,0.0,4.0,9.0,4.0,2.0,1.0,1.0,2.0,3.0,-0.0,1.0,2.0,-0.0,0.0,1
83,1.0,0.0,0.0,2.0,1.0,1.0,1.0,4.0,3.0,4.0,1.0,1.0,1.0,0.0,2.0,-0.0,1.0,2.0,-0.0,0.0,1
84,0.0,1.0,1.0,2.0,3.0,2.0,2.0,4.0,0.0,2.0,3.0,1.0,2.0,0.0,3.0,-0.0,1.0,1.0,-0.0,0.0,1
85,0.0,0.0,0.0,2.0,3.0,1.0,0.0,4.0,6.0,0.0,3.0,1.0,2.0,0.0,2.0,-0.0,1.0,2.0,-0.0,0.0,2
86,3.0,0.0,0.0,2.0,4.0,1.0,0.0,4.0,4.0,4.0,4.0,1.0,2.0,0.0,2.0,1.0,1.0,1.0,-0.0,0.0,1
87,0.0,0.0,0.0,2.0,3.0,1.0,0.0,4.0,1.0,4.0,4.0,1.0,2.0,0.0,2.0,1.0,1.0,1.0,-0.0,0.0,1
88,3.0,0.0,4.0,0.0,3.0,2.0,1.0,4.0,4.0,4.0,4.0,1.0,1.0,0.0,1.0,-0.0,1.0,1.0,-0.0,0.0,2
89,2.0,0.0,4.0,2.0,4.0,1.0,3.0,4.0,3.0,4.0,4.0,0.0,2.0,1.0,2.0,-0.0,1.0,2.0,-0.0,0.0,1
90,1.0,1.0,3.0,2.0,4.0,1.0,0.0,4.0,0.0,2.0,4.0,1.0,2.0,0.0,2.0,1.0,1.0,1.0,-0.0,0.0,1
91,3.0,0.0,4.0,2.0,2.0,1.0,2.0,4.0,7.0,4.0,3.0,1.0,1.0,0.0,2.0,1.0,1.0,1.0,-0.0,0.0,1
92,1.0,0.0,1.0,2.0,4.0,1.0,2.0,4.0,9.0,2.0,2.0,1.0,2.0,0.0,2.0,-0.0,1.0,1.0,-0.0,0.0,1
93,1.0,0.0,0.0,2.0,4.0,1.0,0.0,4.0,4.0,4.0,4.0,1.0,2.0,0.0,2.0,1.0,1.0,1.0,-0.0,0.0,1
94,1.0,1.0,4.0,0.0,4.0,2.0,1.0,3.0,1.0,3.0,3.0,0.0,2.0,0.0,3.0,1.0,1.0,2.0,1.0,0.0,1
95,3.0,0.0,1.0,2.0,4.0,1.0,0.0,4.0,0.0,2.0,4.0,0.0,3.0,0.0,1.0,1.0,1.0,1.0,-0.0,0.0,1
96,1.0,0.0,0.0,2.0,4.0,1.0,2.0,4.0,4.0,2.0,3.0,0.0,2.0,0.0,2.0,-0.0,1.0,1.0,-0.0,0.0,1
97,3.0,0.0,0.0,2.0,2.0,1.0,0.0,3.0,4.0,3.0,2.0,1.0,1.0,0.0,2.0,-0.0,-0.0,1.0,-0.0,0.0,1
98,1.0,1.0,0.0,2.0,3.0,1.0,2.0,4.0,3.0,4.0,3.0,0.0,2.0,0.0,2.0,1.0,1.0,1.0,-0.0,0.0,1
99,3.0,1.0,4.0,2.0,4.0,1.0,2.0,2.0,1.0,2.0,1.0,0.0,3.0,0.0,2.0,-0.0,1.0,1.0,-0.0,0.0,1
100,3.0,1.0,0.0,0.0,4.0,2.0,3.0,2.0,0.0,1.0,4.0,1.0,2.0,0.0,3.0,1.0,1.0,2.0,1.0,0.0,2
101,1.0,0.0,0.0,2.0,2.0,1.0,2.0,2.0,0.0,2.0,3.0,1.0,2.0,0.0,2.0,-0.0,1.0,1.0,1.0,0.0,1
102,0.0,1.0,4.0,2.0,2.0,1.0,1.0,1.0,3.0,2.0,1.0,1.0,1.0,0.0,2.0,-0.0,1.0,1.0,1.0,1.0,1
103,1.0,1.0,2.0,2.0,2.0,1.0,0.0,1.0,9.0,2.0,4.0,1.0,3.0,0.0,2.0,1.0,1.0,1.0,-0.0,0.0,1
104,1.0,0.0,1.0,0.0,2.0,2.0,2.0,1.0,9.0,3.0,4.0,1.0,0.0,0.0,2.0,-0.0,-0.0,2.0,-0.0,0.0,1
105,2.0,1.0,0.0,2.0,4.0,1.0,1.0,4.0,7.0,2.0,1.0,0.0,1.0,0.0,2.0,-0.0,1.0,1.0,-0.0,0.0,1
106,1.0,0.0,0.0,2.0,3.0,1.0,0.0,3.0,0.0,2.0,3.0,0.0,2.0,0.0,1.0,-0.0,1.0,1.0,1.0,0.0,1
107,3.0,1.0,0.0,1.0,2.0,1.0,0.0,4.0,0.0,4.0,2.0,1.0,1.0,0.0,2.0,-0.0,1.0,2.0,1.0,0.0,2
108,0.0,0.0,2.0,2.0,1.0,1.0,0.0,3.0,4.0,2.0,4.0,1.0,3.0,0.0,2.0,1.0,1.0,1.0,-0.0,0.0,1
109,3.0,1.0,4.0,2.0,1.0,1.0,0.0,4.0,4.0,4.0,4.0,1.0,2.0,0.0,2.0,1.0,1.0,1.0,-0.0,0.0,1
110,0.0,1.0,4.0,2.0,3.0,1.0,2.0,4.0,4.0,2.0,3.0,1.0,1.0,0.0,3.0,-0.0,1.0,1.0,1.0,0.0,2
111,0.0,0.0,4.0,2.0,3.0,1.0,0.0,2.0,3.0,4.0,1.0,0.0,1.0,1.0,2.0,-0.0,1.0,2.0,-0.0,1.0,1
112,0.0,0.0,2.0,2.0,4.0,1.0,2.0,1.0,3.0,4.0,2.0,1.0,1.0,0.0,2.0,-0.0,1.0,2.0,1.0,0.0,2
113,1.0,1.0,2.0,2.0,3.0,1.0,2.0,3.0,0.0,4.0,3.0,1.0,0.0,0.0,3.0,1.0,1.0,1.0,-0.0,0.0,1
114,0.0,1.0,0.0,2.0,2.0,1.0,0.0,3.0,4.0,2.0,2.0,1.0,1.0,0.0,2.0,-0.0,1.0,2.0,-0.0,0.0,2
115,3.0,1.0,0.0,2.0,2.0,1.0,2.0,4.0,1.0,4.0,4.0,0.0,1.0,0.0,3.0,1.0,1.0,2.0,-0.0,0.0,1
116,3.0,0.0,0.0,2.0,2.0,1.0,0.0,3.0,3.0,2.0,2.0,0.0,2.0,0.0,1.0,-0.0,1.0,1.0,-0.0,0.0,1
117,2.0,1.0,0.0,2.0,4.0,1.0,3.0,4.0,0.0,4.0,4.0,2.0,2.0,0.0,2.0,1.0,1.0,2.0,-0.0,0.0,1
118,1.0,0.0,4.0,2.0,3.0,1.0,0.0,4.0,3.0,2.0,1.0,0.0,1.0,0.0,2.0,-0.0,1.0,1.0,-0.0,0.0,2
119,0.0,0.0,0.0,2.0,2.0,1.0,1.0,4.0,0.0,4.0,2.0,1.0,2.0,0.0,2.0,-0.0,1.0,2.0,-0.0,0.0,1
120,0.0,0.0,0.0,2.0,2.0,1.0,0.0,4.0,4.0,2.0,2.0,1.0,3.0,0.0,1.0,1.0,1.0,1.0,-0.0,0.0,1
121,1.0,0.0,0.0,2.0,2.0,1.0,2.0,4.0,6.0,2.0,2.0,1.0,2.0,0.0,2.0,-0.0,1.0,1.0,-0.0,0.0,2
122,1.0,1.0,0.0,2.0,2.0,1.0,2.0,4.0,1.0,4.0,0.0,1.0,2.0,0.0,3.0,-0.0,1.0,2.0,-0.0,0.0,1
123,0.0,0.0,0.0,2.0,2.0,1.0,0.0,3.0,0.0,4.0,2.0,1.0,1.0,1.0,2.0,-0.0,1.0,2.0,-0.0,0.0,2
124,1.0,0.0,4.0,2.0,2.0,1.0,2.0,1.0,0.0,2.0,3.0,1.0,1.0,0.0,2.0,-0.0,1.0,1.0,1.0,0.0,1
125,0.0,1.0,0.0,1.0,3.0,1.0,1.0,4.0,7.0,3.0,2.0,1.0,2.0,0.0,2.0,-0.0,1.0,1.0,1.0,0.0,2
126,3.0,0.0,0.0,0.0,3.0,1.0,1.0,2.0,3.0,2.0,1.0,1.0,2.0,0.0,1.0,-0.0,1.0,2.0,-0.0,0.0,1
127,3.0,0.0,0.0,0.0,4.0,1.0,3.0,4.0,3.0,2.0,2.0,2.0,2.0,0.0,2.0,1.0,1.0,2.0,-0.0,0.0,1
128,3.0,1.0,4.0,2.0,2.0,1.0,0.0,4.0,4.0,4.0,4.0,1.0,1.0,0.0,2.0,1.0,1.0,2.0,-0.0,0.0,1
129,3.0,0.0,3.0,2.0,2.0,1.0,2.0,2.0,1.0,3.0,2.0,1.0,2.0,0.0,2.0,-0.0,1.0,2.0,1.0,0.0,1
130,1.0,0.0,2.0,2.0,3.0,1.0,0.0,4.0,4.0,2.0,2.0,1.0,2.0,0.0,1.0,1.0,1.0,1.0,-0.0,0.0,2
131,1.0,1.0,4.0,0.0,2.0,1.0,0.0,4.0,4.0,4.0,3.0,1.0,2.0,2.0,2.0,1.0,1.0,3.0,-0.0,0.0,1
132,2.0,1.0,0.0,2.0,2.0,1.0,2.0,2.0,4.0,2.0,2.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,-0.0,0.0,1
133,2.0,0.0,3.0,2.0,2.0,1.0,0.0,2.0,0.0,2.0,1.0,1.0,3.0,0.0,0.0,-0.0,-0.0,1.0,-0.0,1.0,1
134,1.0,1.0,0.0,2.0,1.0,1.0,3.0,4.0,4.0,2.0,1.0,1.0,1.0,0.0,3.0,-0.0,1.0,1.0,1.0,0.0,1
135,0.0,0.0,0.0,2.0,2.0,1.0,2.0,3.0,4.0,2.0,2.0,1.0,2.0,0.0,3.0,-0.0,1.0,1.0,-0.0,0.0,1
136,0.0,0.0,0.0,2.0,2.0,1.0,2.0,2.0,3.0,2.0,2.0,1.0,2.0,0.0,2.0,-0.0,1.0,1.0,-0.0,0.0,2
137,3.0,1.0,0.0,2.0,4.0,1.0,1.0,4.0,3.0,4.0,1.0,1.0,1.0,0.0,2.0,-0.0,1.0,1.0,-0.0,0.0,1
138,1.0,0.0,1.0,2.0,2.0,1.0,2.0,4.0,9.0,1.0,3.0,1.0,2.0,0.0,2.0,-0.0,1.0,1.0,-0.0,0.0,1
139,0.0,1.0,0.0,2.0,4.0,1.0,3.0,1.0,0.0,4.0,4.0,1.0,1.0,0.0,2.0,1.0,-0.0,2.0,-0.0,0.0,1
140,3.0,1.0,1.0,2.0,3.0,1.0,2.0,4.0,0.0,4.0,3.0,1.0,1.0,0.0,2.0,1.0,1.0,2.0,-0.0,0.0,1
141,0.0,0.0,0.0,2.0,2.0,1.0,1.0,3.0,3.0,4.0,2.0,1.0,2.0,2.0,2.0,-0.0,1.0,2.0,1.0,0.0,1
142,3.0,0.0,3.0,2.0,4.0,1.0,2.0,4.0,4.0,4.0,4.0,1.0,2.0,0.0,2.0,1.0,1.0,2.0,-0.0,0.0,1
143,3.0,1.0,1.0,0.0,4.0,2.0,3.0,2.0,4.0,2.0,4.0,2.0,2.0,0.0,2.0,1.0,-0.0,1.0,-0.0,0.0,1
144,3.0,1.0,0.0,2.0,4.0,1.0,1.0,1.0,4.0,2.0,2.0,1.0,2.0,0.0,2.0,1.0,1.0,1.0,-0.0,1.0,1
145,2.0,0.0,0.0,2.0,1.0,1.0,2.0,4.0,4.0,2.0,2.0,1.0,2.0,0.0,2.0,-0.0,1.0,1.0,1.0,0.0,1
146,1.0,0.0,3.0,2.0,4.0,1.0,3.0,2.0,1.0,4.0,4.0,0.0,1.0,0.0,2.0,-0.0,1.0,1.0,1.0,0.0,1
147,1.0,1.0,1.0,2.0,4.0,1.0,2.0,4.0,9.0,3.0,3.0,0.0,2.0,0.0,3.0,1.0,1.0,1.0,1.0,0.0,1
148,0.0,0.0,0.0,2.0,4.0,1.0,2.0,2.0,3.0,2.0,2.0,0.0,1.0,0.0,2.0,-0.0,1.0,1.0,-0.0,0.0,2
149,0.0,0.0,1.0,2.0,4.0,2.0,0.0,3.0,6.0,4.0,4.0,1.0,2.0,2.0,2.0,1.0,1.0,2.0,-0.0,1.0,1
150,0.0,0.0,0.0,0.0,1.0,1.0,2.0,4.0,8.0,1.0,4.0,1.0,3.0,0.0,1.0,1.0,1.0,1.0,-0.0,0.0,1
151,1.0,1.0,1.0,0.0,3.0,1.0,2.0,2.0,0.0,2.0,3.0,1.0,2.0,0.0,2.0,1.0,1.0,2.0,-0.0,0.0,1
152,3.0,0.0,4.0,2.0,2.0,2.0,0.0,1.0,4.0,4.0,2.0,1.0,2.0,0.0,1.0,-0.0,-0.0,2.0,-0.0,0.0,1
153,3.0,1.0,1.0,2.0,4.0,2.0,0.0,3.0,4.0,4.0,4.0,1.0,2.0,0.0,2.0,1.0,1.0,1.0,-0.0,0.0,1
154,3.0,0.0,0.0,2.0,1.0,1.0,1.0,4.0,0.0,4.0,1.0,1.0,1.0,0.0,2.0,-0.0,1.0,2.0,-0.0,0.0,1
155,3.0,1.0,2.0,2.0,3.0,1.0,1.0,4.0,5.0,2.0,3.0,1.0,2.0,0.0,2.0,1.0,1.0,2.0,-0.0,0.0,1
156,3.0,0.0,2.0,2.0,4.0,1.0,1.0,4.0,0.0,2.0,4.0,1.0,2.0,0.0,2.0,1.0,1.0,1.0,-0.0,0.0,1
157,3.0,1.0,2.0,2.0,2.0,1.0,2.0,1.0,3.0,2.0,2.0,1.0,2.0,0.0,2.0,-0.0,-0.0,1.0,-0.0,0.0,1
158,0.0,0.0,0.0,2.0,2.0,1.0,2.0,4.0,3.0,2.0,0.0,1.0,1.0,0.0,2.0,-0.0,1.0,1.0,-0.0,0.0,2
159,1.0,0.0,3.0,2.0,1.0,1.0,0.0,4.0,3.0,2.0,1.0,1.0,1.0,0.0,2.0,-0.0,1.0,1.0,-0.0,0.0,1
160,3.0,1.0,0.0,2.0,4.0,1.0,1.0,2.0,3.0,2.0,3.0,0.0,1.0,0.0,2.0,-0.0,1.0,1.0,1.0,0.0,1
161,1.0,1.0,0.0,2.0,4.0,1.0,0.0,4.0,9.0,4.0,4.0,1.0,0.0,0.0,2.0,-0.0,1.0,2.0,-0.0,0.0,2
