A1,A19,A6,A14,A11,A18,A12,A8,A4,A3,A7,A15,A9,A10,A17,A13,A2,A16,A5,A20,A21
0,1,1,2,3,2,2,4,0,2,3,1,2,0,3,30,18,1,2249,0,1
0,0,0,2,3,1,0,4,6,0,3,1,2,0,2,28,12,2,1108,0,2
3,0,0,2,4,1,0,4,4,4,4,1,2,0,2,56,12,1,618,0,1
0,0,0,2,3,1,0,4,1,4,4,1,2,0,2,54,12,1,1409,0,1
3,0,4,0,3,2,1,4,4,4,4,1,1,0,1,33,12,1,797,0,2
2,0,4,2,4,1,3,4,3,4,4,0,2,1,2,20,24,2,3617,0,1
1,1,3,2,4,1,0,4,0,2,4,1,2,0,2,54,12,1,1318,0,1
3,0,4,2,2,1,2,4,7,4,3,1,1,0,2,61,12,1,2012,0,1
1,0,1,2,4,1,2,4,9,2,2,1,2,0,2,34,18,1,2622,0,1
1,0,0,2,4,1,0,4,4,4,4,1,2,0,2,36,36,1,2337,0,1
1,1,4,0,4,2,1,3,1,3,3,0,2,0,3,36,20,2,7057,0,1
3,0,1,2,4,1,0,4,0,2,4,0,3,0,1,41,24,1,1469,0,1
1,0,0,2,4,1,2,4,4,2,3,0,2,0,2,24,36,1,2323,0,1
3,0,0,2,2,1,0,3,4,3,2,1,1,0,2,24,6,1,932,0,1
1,1,0,2,3,1,2,4,3,4,3,0,2,0,2,35,9,1,1919,0,1
3,1,4,2,4,1,2,2,1,2,1,0,3,0,2,26,12,1,2445,0,1
3,1,0,0,4,2,3,2,0,1,4,1,2,0,3,39,18,2,6458,0,2
1,0,0,2,2,1,2,2,0,2,3,1,2,0,2,32,12,1,6078,0,1
0,1,4,2,2,1,1,1,3,2,1,1,1,0,2,30,24,1,7721,1,1
1,1,2,2,2,1,0,1,9,2,4,1,3,0,2,35,14,1,1410,0,1
1,0,1,0,2,2,2,1,9,3,4,1,0,0,2,31,6,2,1449,0,1
2,1,0,2,4,1,1,4,7,2,1,0,1,0,2,23,15,1,392,0,1
1,0,0,2,3,1,0,3,0,2,3,0,2,0,1,28,18,1,6260,0,1
3,1,0,1,2,1,0,4,0,4,2,1,1,0,2,25,36,2,7855,0,2
0,0,2,2,1,1,0,3,4,2,4,1,3,0,2,35,12,1,1680,0,1
3,1,4,2,1,1,0,4,4,4,4,1,2,0,2,47,48,1,3578,0,1
0,1,4,2,3,1,2,4,4,2,3,1,1,0,3,30,42,1,7174,0,2
0,0,4,2,3,1,0,2,3,4,1,0,1,1,2,27,10,2,2132,1,1
0,0,2,2,4,1,2,1,3,4,2,1,1,0,2,23,33,2,4281,0,2
1,1,2,2,3,1,2,3,0,4,3,1,0,0,3,36,12,1,2366,0,1
0,1,0,2,2,1,0,3,4,2,2,1,1,0,2,25,21,2,1835,0,2
3,1,0,2,2,1,2,4,1,4,4,0,1,0,3,41,24,2,3868,0,1
3,0,0,2,2,1,0,3,3,2,2,0,2,0,1,24,12,1,1768,0,1
2,1,0,2,4,1,3,4,0,4,4,2,2,0,2,63,10,2,781,0,1
1,0,4,2,3,1,0,4,3,2,1,0,1,0,2,27,18,1,1924,0,2
0,0,0,2,2,1,1,4,0,4,2,1,2,0,2,30,12,2,2121,0,1
0,0,0,2,2,1,0,4,4,2,2,1,3,0,1,40,12,1,701,0,1
1,0,0,2,2,1,2,4,6,2,2,1,2,0,2,30,12,1,639,0,2
1,1,0,2,2,1,2,4,1,4,0,1,2,0,3,34,12,2,1860,0,1
0,0,0,2,2,1,0,3,0,4,2,1,1,1,2,29,12,2,3499,0,2
1,0,4,2,2,1,2,1,0,2,3,1,1,0,2,24,48,1,8487,0,1
0,1,0,1,3,1,1,4,7,3,2,1,2,0,2,29,36,1,6887,0,2
3,0,0,0,3,1,1,2,3,2,1,1,2,0,1,27,15,2,2708,0,1
3,0,0,0,4,1,3,4,3,2,2,2,2,0,2,47,18,2,1984,0,1
3,1,4,2,2,1,0,4,4,4,4,1,1,0,2,38,12,2,1240,0,1
3,0,3,2,2,1,2,2,1,3,2,1,2,0,2,27,27,2,8613,0,1
1,0,2,2,3,1,0,4,4,2,2,1,2,0,1,66,12,1,766,0,2
1,1,4,0,2,1,0,4,4,4,3,1,2,2,2,35,15,3,2728,0,1
2,1,0,2,2,1,2,2,4,2,2,0,1,0,1,44,12,1,1881,0,1
2,0,3,2,2,1,0,2,0,2,1,1,3,0,0,27,6,1,709,1,1
1,1,0,2,1,1,3,4,4,2,1,1,1,0,3,30,36,1,4795,0,1
0,0,0,2,2,1,2,3,4,2,2,1,2,0,3,27,27,1,3416,0,1
0,0,0,2,2,1,2,2,3,2,2,1,2,0,2,22,18,1,2462,0,2
3,1,0,2,4,1,1,4,3,4,1,1,1,0,2,23,21,1,2288,0,1
1,0,1,2,2,1,2,4,9,1,3,1,2,0,2,30,48,1,3566,0,1
0,1,0,2,4,1,3,1,0,4,4,1,1,0,2,39,6,2,860,0,1
3,1,1,2,3,1,2,4,0,4,3,1,1,0,2,51,12,2,682,0,1
0,0,0,2,2,1,1,3,3,4,2,1,2,2,2,28,36,2,5371,0,1
3,0,3,2,4,1,2,4,4,4,4,1,2,0,2,46,18,2,1582,0,1
3,1,1,0,4,2,3,2,4,2,4,2,2,0,2,42,6,1,1346,0,1
3,1,0,2,4,1,1,1,4,2,2,1,2,0,2,38,10,1,1924,1,1
2,0,0,2,1,1,2,4,4,2,2,1,2,0,2,24,36,1,5848,0,1
1,0,3,2,4,1,3,2,1,4,4,0,1,0,2,29,24,1,7758,0,1
1,1,1,2,4,1,2,4,9,3,3,0,2,0,3,36,24,1,6967,0,1
0,0,0,2,4,1,2,2,3,2,2,0,1,0,2,20,12,1,1282,0,2
0,0,1,2,4,2,0,3,6,4,4,1,2,2,2,48,9,2,1288,1,1
0,0,0,0,1,1,2,4,8,1,4,1,3,0,1,45,12,1,339,0,1
1,1,1,0,3,1,2,2,0,2,3,1,2,0,2,38,24,2,3512,0,1
3,0,4,2,2,2,0,1,4,4,2,1,2,0,1,34,6,2,1898,0,1
3,1,1,2,4,2,0,3,4,4,4,1,2,0,2,36,24,1,2872,0,1
3,0,0,2,1,1,1,4,0,4,1,1,1,0,2,30,18,2,1055,0,1
3,1,2,2,3,1,1,4,5,2,3,1,2,0,2,36,15,2,1262,0,1
3,0,2,2,4,1,1,4,0,2,4,1,2,0,2,36,36,1,909,0,1
3,1,2,2,2,1,2,1,3,2,2,1,2,0,2,32,6,1,2978,0,1
0,0,0,2,2,1,2,4,3,2,0,1,1,0,2,33,18,1,1131,0,2
1,0,3,2,1,1,0,4,3,2,1,1,1,0,2,20,11,1,1577,0,1
3,1,0,2,4,1,1,2,3,2,3,0,1,0,2,25,24,1,3972,0,1
1,1,0,2,4,1,0,4,9,4,4,1,0,0,2,31,24,2,1935,0,2
0,0,0,2,3,2,2,4,0,0,4,0,2,0,2,33,15,2,950,0,2
3,1,0,2,1,1,0,4,3,2,2,1,1,0,2,26,12,1,763,0,1
1,1,0,2,2,1,1,3,3,3,0,1,1,0,3,34,24,1,2064,0,2
1,0,0,2,2,1,0,4,4,2,2,1,2,2,2,33,8,1,1414,1,1
0,0,0,2,1,1,1,2,7,3,1,1,2,0,2,26,21,2,3414,0,2
3,1,4,0,1,1,0,4,1,1,0,1,1,0,3,53,30,1,7485,0,2
0,0,0,2,1,1,2,2,3,2,2,1,0,0,2,42,12,1,2577,0,1
0,0,2,2,4,1,2,4,4,4,4,1,2,0,2,52,6,2,338,0,1
3,1,0,2,2,2,2,4,4,2,3,0,2,0,3,31,12,2,1963,0,1
0,0,0,2,4,1,0,4,0,4,4,1,2,0,2,65,21,2,571,0,1
3,0,0,2,1,1,2,1,9,3,1,1,0,0,2,28,36,2,9572,0,2
1,1,0,1,2,1,0,2,9,3,2,1,0,0,3,30,36,2,4455,0,2
0,0,4,2,2,2,1,4,0,1,2,1,2,0,1,40,21,2,1647,0,2
3,1,3,2,4,1,0,4,3,4,2,1,2,0,2,50,24,1,3777,0,1
1,1,0,0,4,2,2,4,0,4,4,1,2,0,2,36,18,1,884,0,2
3,0,0,2,2,1,1,4,4,4,2,1,2,0,2,31,15,2,1360,0,1
1,1,0,2,3,1,2,2,0,4,0,2,2,0,0,68,16,3,1175,0,1
0,0,1,2,1,1,1,4,4,2,3,1,3,0,2,20,12,1,674,0,2
1,1,0,0,4,1,2,1,3,0,2,1,1,0,2,33,18,2,3244,0,1
3,1,3,2,3,1,1,2,9,2,2,1,2,0,3,54,24,3,4591,0,2
1,0,1,2,4,2,3,4,9,0,3,2,2,0,1,34,48,1,3844,0,2
1,1,0,2,2,2,2,4,9,2,2,1,2,0,2,36,27,1,3915,0,2
3,0,0,2,2,1,0,2,4,2,3,0,3,0,2,29,6,1,2108,0,1
1,0,1,2,4,1,1,4,4,2,2,0,2,2,2,21,45,1,3031,0,2
1,1,0,2,3,1,2,2,7,4,4,1,1,0,3,34,9,2,1501,0,2
3,1,0,2,1,1,2,1,4,4,2,1,1,0,2,28,6,2,1382,0,1
1,0,1,0,4,1,2,4,3,2,1,0,1,0,2,27,12,4,951,0,2
1,1,4,0,4,1,3,4,1,2,4,2,2,0,2,36,24,1,2760,0,1
1,1,0,2,3,1,3,4,3,3,4,1,0,0,3,40,18,1,4297,0,2
3,1,2,2,2,1,2,4,7,4,4,1,2,0,2,52,9,2,936,0,1
0,0,0,2,3,1,0,4,0,2,2,1,3,0,1,27,12,1,1168,0,1
3,0,0,2,4,1,2,3,9,3,3,1,2,0,2,26,27,2,5117,0,1
0,0,0,2,4,1,1,4,8,2,3,0,3,0,2,21,12,1,902,0,2
3,0,0,2,1,2,0,4,0,4,4,1,2,0,1,38,12,2,1495,0,1
0,1,0,2,4,2,3,3,1,4,4,2,2,0,3,38,30,3,10623,0,1
3,1,0,2,4,1,0,4,3,4,4,1,2,0,2,43,12,3,1935,0,1
1,0,0,2,3,1,1,4,5,4,3,1,2,0,2,26,12,1,1424,0,1
0,0,0,1,2,1,2,2,9,2,2,1,3,0,1,21,24,1,6568,0,1
3,0,3,2,2,1,1,3,1,2,3,1,2,0,2,55,12,1,1413,1,1
3,0,4,2,2,2,0,1,4,4,2,1,2,0,2,33,9,2,3074,0,1
3,1,4,2,4,1,0,2,4,2,4,1,1,0,1,45,36,1,3835,0,1
0,1,0,1,4,1,1,2,9,0,0,1,2,0,2,50,27,2,5293,0,2
2,1,0,2,4,1,0,4,9,3,4,1,2,0,3,66,30,1,1908,0,2
3,1,4,2,2,1,2,4,4,4,4,1,2,0,2,51,36,1,3342,0,1
1,0,4,2,3,1,1,1,8,4,3,1,1,0,1,39,6,2,932,0,1
0,1,0,0,1,1,1,3,9,0,3,1,2,0,2,31,18,1,3104,0,1
2,1,0,2,2,1,0,2,4,2,2,1,2,0,2,23,36,1,3913,0,1
0,0,0,2,2,1,0,2,3,2,2,0,0,0,1,24,24,1,3021,0,1
3,1,0,2,4,1,2,2,0,2,2,1,1,0,2,64,10,1,1364,0,1
1,0,0,0,1,1,0,4,4,2,1,1,3,2,1,26,12,1,625,0,1
0,1,4,0,4,1,1,4,7,2,2,0,1,0,2,23,12,1,1200,0,1
3,0,0,0,2,1,0,4,4,2,2,1,2,0,2,30,12,2,707,0,1
3,1,4,2,4,2,0,4,9,3,2,1,2,0,2,32,24,2,2978,0,1
3,1,0,2,2,1,2,3,1,2,2,1,2,0,2,30,15,1,4657,0,1
3,0,0,2,2,1,2,4,6,0,2,1,2,0,2,27,36,2,2613,0,1
1,1,3,0,2,1,3,1,4,2,3,1,2,1,2,27,48,2,10961,0,2
0,1,0,2,4,1,3,4,3,2,4,2,2,0,3,53,12,1,7865,0,2
3,0,0,2,2,1,2,4,4,2,3,1,2,0,2,22,9,1,1478,0,2
0,0,0,0,1,1,3,4,3,2,1,2,2,0,2,22,24,1,3149,0,1
2,0,0,2,2,1,2,4,4,2,2,1,2,0,2,26,36,1,4210,0,2
3,0,2,2,4,1,3,2,0,2,4,2,2,0,1,51,9,1,2507,0,1
3,0,1,2,1,1,3,3,4,2,3,1,2,0,2,35,12,1,2141,0,1
1,0,0,2,2,1,0,4,4,2,2,1,3,2,1,25,18,1,866,0,1
3,0,0,2,1,2,0,2,4,4,3,1,2,0,1,42,4,3,1544,0,1
0,0,0,1,2,2,2,4,4,2,0,1,2,0,3,30,24,1,1823,0,2
1,0,1,0,2,1,2,4,9,2,4,0,0,0,1,61,21,2,2767,0,2
3,0,0,2,2,1,1,4,4,4,2,1,1,0,2,35,12,2,1291,0,1
0,0,0,2,3,2,1,1,4,2,4,1,2,2,2,39,30,1,2522,0,1
0,0,4,0,2,1,2,4,0,2,4,1,1,0,2,29,24,1,915,0,2
3,0,0,2,2,2,1,3,4,2,3,1,2,0,2,51,6,1,1595,0,1
0,0,0,2,4,2,3,3,1,0,4,2,2,0,2,24,48,2,4605,0,2
3,0,0,2,2,1,0,3,9,4,2,1,1,0,2,27,12,2,1185,0,1
3,0,2,2,3,2,0,4,8,1,2,1,1,0,1,35,12,1,3447,0,1
3,1,0,2,1,1,0,4,9,2,3,1,2,0,2,25,24,1,1258,0,1
3,0,0,2,4,1,0,4,4,4,4,1,2,0,2,52,12,3,717,0,1
3,0,1,0,1,1,3,4,0,0,2,0,2,0,2,35,6,1,1204,1,1
2,0,0,2,2,1,0,2,3,2,2,1,2,0,2,26,24,1,1925,0,1
3,0,0,2,4,1,0,3,4,2,0,0,1,1,2,22,18,1,433,0,2
0,1,3,2,4,1,0,3,0,4,3,1,1,0,1,39,6,2,666,0,1
2,0,0,2,2,1,2,1,3,2,2,1,1,0,1,46,12,1,2251,0,1
1,0,0,0,2,1,3,4,0,2,2,1,1,2,2,24,30,1,2150,0,2
3,0,1,2,3,1,1,2,3,3,2,1,2,0,2,35,24,2,4151,0,1
1,1,4,2,1,1,2,2,3,2,3,1,2,0,2,24,9,1,2030,0,1
3,0,0,2,2,1,0,4,4,4,2,1,2,0,1,35,24,2,2684,0,1
0,0,0,2,1,1,3,4,4,1,2,2,0,0,2,29,12,1,2149,0,2
3,1,1,2,4,1,2,1,1,2,1,1,1,0,2,23,15,1,3812,0,1
3,0,1,2,4,1,0,4,4,4,0,1,1,0,1,57,11,3,1154,0,1
0,0,0,2,2,1,0,2,3,2,2,1,2,0,2,27,12,1,1657,0,1
0,0,0,2,4,1,2,4,4,2,4,1,1,0,2,55,24,1,1603,0,1
0,1,0,2,4,1,3,2,0,4,4,2,2,0,3,36,18,3,5302,0,1
3,0,0,0,4,1,3,2,7,4,4,2,1,0,1,57,12,3,2748,0,1
3,0,0,2,4,2,0,3,0,4,4,1,2,0,1,32,10,2,1231,1,1
1,0,0,2,3,2,2,4,4,2,4,1,2,0,2,37,15,1,802,0,2
3,0,4,2,4,1,0,4,9,4,4,1,2,0,2,36,36,2,6304,0,1
3,1,0,1,3,1,2,4,4,2,1,1,1,0,2,38,24,1,1533,0,1
0,1,0,2,4,1,1,1,0,2,4,1,0,0,3,45,14,1,8978,1,2
3,0,4,2,2,1,2,4,4,2,4,1,2,0,2,25,24,2,999,0,1
3,0,4,2,3,1,1,4,0,2,3,1,2,0,2,32,18,1,2662,1,1
3,1,2,2,4,1,2,3,3,4,3,0,1,0,2,37,12,1,1402,0,1
1,0,0,2,4,1,0,4,4,2,3,1,2,0,2,28,48,2,3060,0,2
3,0,0,2,2,2,0,1,4,2,2,1,2,0,2,32,9,1,2697,0,1
3,0,0,2,2,1,2,2,4,4,2,1,1,0,2,26,18,2,2404,0,1
0,1,4,2,4,1,1,2,3,2,4,1,0,0,1,49,12,1,1262,0,1
3,0,0,2,4,1,1,1,3,2,1,1,1,0,2,32,6,1,4611,0,2
3,1,1,2,4,1,2,4,4,2,2,0,2,0,3,29,24,1,1901,0,1
3,1,3,2,4,1,3,3,1,4,4,0,2,0,2,23,15,2,3368,0,1
3,0,0,2,2,1,0,4,3,2,2,1,2,0,2,50,12,1,1574,0,1
2,0,4,0,4,1,2,4,4,1,3,1,2,0,1,49,18,1,1445,0,1
3,0,4,2,4,1,1,4,3,4,4,1,2,0,2,63,15,1,1520,0,1
1,1,1,2,2,1,2,4,0,4,1,1,0,0,2,37,24,1,3878,0,1
0,1,0,2,1,1,0,1,0,2,1,1,1,0,1,35,47,1,10722,0,1
0,0,0,2,3,2,1,4,1,2,3,1,2,0,2,26,48,1,4788,0,1
1,1,1,2,4,1,3,2,2,3,0,2,2,0,3,31,48,1,7582,0,1
1,1,0,2,4,1,0,4,4,2,2,1,1,2,2,49,12,2,1092,0,1
0,0,0,1,4,1,0,4,4,3,1,1,3,0,2,48,24,1,1024,0,2
3,1,0,2,2,1,0,2,9,2,2,1,3,0,2,26,12,1,1076,1,1
1,1,0,2,4,1,2,1,1,2,1,0,3,0,3,28,36,1,9398,0,2
0,1,0,2,4,2,3,2,1,4,4,2,1,0,3,44,24,2,6419,0,1
2,0,0,2,4,1,3,4,1,4,4,2,2,0,2,56,42,1,4796,0,1
3,0,4,0,2,2,2,4,9,4,4,1,0,0,3,46,48,2,7629,0,1
1,1,0,2,2,1,2,1,3,2,1,1,1,0,2,26,48,1,9960,0,2
3,0,4,2,4,1,2,1,1,2,1,0,1,0,2,20,12,1,4675,0,1
3,0,4,2,2,1,1,4,0,2,4,1,2,1,1,45,10,1,1287,1,1
3,1,0,2,4,1,0,3,3,2,2,1,2,0,2,43,18,1,2515,0,1
1,1,3,2,2,1,2,3,3,4,3,1,2,0,2,32,21,2,2745,0,1
3,1,0,2,4,1,0,1,0,2,0,1,1,0,0,54,6,1,672,0,1
1,1,0,2,1,1,2,4,4,0,2,1,1,0,2,42,36,1,3804,0,2
2,0,4,0,2,2,0,4,0,4,3,1,2,0,1,37,24,2,1344,0,2
0,1,0,2,3,1,1,4,0,4,3,1,2,1,2,49,10,2,1038,0,1
3,0,2,0,2,1,3,2,0,4,2,2,2,0,2,44,48,1,10127,0,2
3,0,3,2,2,1,0,4,3,2,2,1,0,0,2,33,6,1,1543,0,1
3,0,4,1,4,1,1,2,1,2,3,0,1,0,1,24,30,1,4811,0,1
0,1,1,2,3,1,3,4,4,2,1,1,3,0,1,33,12,1,727,0,2
1,0,0,2,4,1,0,3,3,2,2,1,1,0,2,24,8,1,1237,0,2
1,0,0,2,4,1,0,4,0,2,2,0,3,0,1,22,9,1,276,0,1
1,1,4,0,4,1,3,3,2,2,0,2,2,0,0,40,48,1,5381,0,1
3,0,1,1,1,1,2,4,3,2,2,1,2,0,2,25,24,1,5511,0,1
2,0,0,2,4,1,2,2,3,2,1,1,1,0,2,26,24,1,3749,0,1
1,0,0,0,3,1,2,2,0,2,3,1,3,0,1,25,12,1,685,0,2
2,0,4,2,2,2,0,1,0,2,1,1,2,0,1,29,4,1,1494,1,1
0,0,0,0,4,1,2,4,3,1,4,1,2,0,2,31,36,1,2746,0,2
0,0,0,2,3,2,1,2,3,2,2,1,2,2,1,38,12,1,708,0,1
1,1,4,2,4,1,1,1,3,2,2,1,1,0,1,48,24,1,4351,0,1
3,0,0,2,2,1,2,4,7,4,2,1,2,0,2,32,12,2,701,0,1
0,0,0,2,4,1,1,1,3,3,4,1,1,0,1,27,15,2,3643,0,1
1,0,0,2,2,1,2,4,0,4,0,1,3,0,3,28,30,2,4249,0,2
0,0,0,2,3,1,1,4,4,2,1,1,0,0,2,32,24,1,1938,0,2
0,1,0,2,1,1,3,2,1,2,3,2,2,0,3,34,24,1,2910,0,1
0,0,3,2,2,1,2,4,3,2,2,1,2,0,2,28,18,1,2659,0,1
3,0,0,2,3,1,0,4,0,4,2,1,1,0,2,36,18,2,1028,0,1
0,0,0,2,4,1,0,1,0,4,3,1,2,0,1,39,8,2,3398,1,1
3,1,4,2,4,1,1,2,3,4,4,0,2,0,2,49,12,1,5801,0,1
3,1,3,2,3,2,2,4,0,2,3,1,1,0,2,34,24,1,1525,0,1
2,0,0,2,2,1,2,4,4,2,4,1,2,0,2,31,36,1,4473,0,1
1,0,0,2,4,2,2,4,4,2,4,1,2,0,2,28,6,1,1068,0,1
3,0,1,2,2,1,0,4,7,4,2,1,1,0,2,30,18,2,1864,0,2
0,0,0,0,4,2,3,3,3,0,4,0,2,0,2,23,24,2,4110,0,2
0,1,0,2,4,1,0,1,3,4,2,0,0,0,3,44,6,1,3384,0,2
1,0,0,2,4,1,1,2,4,2,1,1,1,2,1,23,13,1,2101,0,1
0,0,4,2,2,1,2,4,5,2,2,0,1,0,2,24,15,1,1275,0,2
0,0,0,2,4,1,1,4,3,2,2,1,2,0,2,28,24,1,4169,0,1
